State,Total_Under18,Total_18to20,Total_21Plus,Total_AllAges,Rural_Under18,Rural_18to20,Rural_21Plus,Rural_AllAges,Urban_Under18,Urban_18to20,Urban_21Plus,Urban_AllAges
India,2.1,25.0,72.9,100.0,2.5,28.1,69.4,100.0,1.2,17.0,81.8,100.0
Andhra Pradesh,1.6,19.8,78.5,100.0,2.0,19.8,78.2,100.0,0.4,19.9,79.7,100.0
Assam,2.9,33.1,64.0,100.0,3.1,35.7,61.3,100.0,1.8,17.3,80.9,100.0
Bihar,2.6,35.0,62.4,100.0,2.8,36.8,60.3,100.0,1.1,22.5,76.4,100.0
Chhattisgarh,3.0,19.7,77.3,100.0,3.4,21.0,75.6,100.0,1.1,13.1,85.8,100.0
Delhi,1.7,15.4,82.8,100.0,0.0,0.0,100.0,100.0,1.8,15.7,82.5,100.0
Gujarat,2.0,23.1,74.9,100.0,2.7,28.3,69.0,100.0,1.2,17.4,81.4,100.0
Haryana,0.6,13.3,86.1,100.0,0.9,13.6,85.5,100.0,0.0,12.8,87.2,100.0
Himachal Pradesh,0.4,13.7,85.9,100.0,0.4,13.9,85.7,100.0,0.0,10.2,89.8,100.0
Jammu & Kashmir,1.3,8.4,90.3,100.0,0.5,9.2,90.4,100.0,3.5,6.2,90.3,100.0
Jharkhand,4.6,41.5,53.9,100.0,5.2,45.9,48.9,100.0,2.0,23.9,74.2,100.0
Karnataka,1.2,26.1,72.7,100.0,1.8,30.5,67.7,100.0,0.1,18.4,81.5,100.0
Kerala,0.1,19.9,80.0,100.0,0.1,22.2,77.6,100.0,0.0,17.6,82.4,100.0
Madhya Pradesh,2.0,35.6,62.5,100.0,2.4,40.1,57.5,100.0,0.5,19.3,80.2,100.0
Maharashtra,1.1,21.0,78.0,100.0,1.4,25.6,73.1,100.0,0.7,15.6,83.7,100.0
Odisha,2.6,27.2,70.2,100.0,2.5,28.0,69.5,100.0,2.8,21.5,75.7,100.0
Punjab,1.0,15.8,83.2,100.0,1.1,16.9,81.9,100.0,0.8,14.0,85.1,100.0
Rajasthan,2.3,21.8,75.9,100.0,2.9,23.4,73.8,100.0,0.6,17.3,82.1,100.0
Tamil Nadu,0.8,18.2,81.0,100.0,1.1,20.4,78.5,100.0,0.5,16.2,83.2,100.0
Telangana,1.4,15.4,83.3,100.0,1.5,18.7,79.8,100.0,1.2,10.0,88.8,100.0
Uttar Pradesh,1.7,17.3,81.0,100.0,1.9,18.7,79.5,100.0,1.0,12.5,86.5,100.0
Uttarakhand,1.7,14.1,84.2,100.0,1.7,14.1,84.1,100.0,1.7,13.9,84.4,100.0
West Bengal,6.3,44.9,48.8,100.0,5.8,49.9,44.3,100.0,7.6,30.2,62.2,100.0
